"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"United States","USA","Trained teachers in lower secondary education, female (% of female teachers)","SE.SEC.TCAQ.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Pupil-teacher ratio, lower secondary","SE.SEC.ENRL.LO.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.79886","14.70835","","14.54548","","","",
"United States","USA","Lower secondary completion rate, male (% of relevant age group)","SE.SEC.CMPT.LO.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.90412902832","100.820587158203","103.090782165527","",
"United States","USA","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Net intake rate in grade 1, female (% of official school-age population)","SE.PRM.NINT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.53075","","","","","75.61275","","","72.81169","74.45857","75.42676","","","","","",
"United States","USA","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","95.0335388183594","","","","","","","","","","96.6446304321289","96.9359588623047","","","","","","","","","","","","","","","","","","","","","","","98.5998306274414","98.4959030151367","98.6408767700195","","98.7320098876953","98.6214904785156","98.7053909301758","98.7037734985352","98.8281402587891","98.8688430786133","98.7663803100586","98.7678298950195","98.8974685668945","","98.9852600097656","","99.0882110595703",
"United States","USA","School enrollment, primary (gross), gender parity index (GPI)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","","","","","","1.02197003364563","1.01301002502441","0.995130002498627","1.00894999504089","1.01609003543854","1.01294994354248","0.995589971542358","","","0.994329988956451","0.982110023498535","","0.980449974536896","0.99031001329422","0.9896399974823","0.987649977207184","","1.0255800485611","1.02755999565125","","","","","","0.989250004291534","","","","","","","","0.991720020771027","0.996640026569366","0.999750018119812","0.998329997062683","0.99234002828598","0.998839974403381","1.00705003738403","",
"United States","USA","Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)","per_si_allsi.ben_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)","per_lm_alllm.ben_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Taxes less subsidies on products (current US$)","NY.TAX.NIND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319253019000","334927816000","346753049000","366923542000","358121013000","383625131000","405028344000","442347093000","471698368000","511478257000","518022793000","521960279000","471536467000","509119399000","544499516000","572832043000","609931736000","643818276000","662068580000","668596273000","694599343000","755656036000","774147989000","",
"United States","USA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5902290000000","6096750000000","6435469000000","6733768000000","7170251000000","7574691000000","8045907000000","8589268000000","9135464000000","9690388000000","10383667000000","10746067000000","11052223000000","11534846000000","12317643000000","13166516000000","14066382000000","14550103000000","14718111000000","14426269000000","15172073000000","15849978000000","16675595000000","17188331000000","18043094000000","18660910000000","19020479000000","19893073000000","20946777999999.9","21708649999999.9","21286637000000",
"United States","USA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","19135.2681815327","19253.547329434","20116.2351242269","20701.2699473561","21599.8187054259","22696.678582964","23894.4081538539","24226.5287873383","25137.1602435017","25664.3794275179","25279.1887911359","25783.6603454669","26850.6131560392","28097.0604410384","27691.0201679651","27362.997490427","28564.6333662027","29586.432207738","30895.0355504639","31523.4056830553","31142.1936846738","31620.6375192839","30755.949137544","31872.9988451273","33884.8759715891","34986.3568660581","35864.8243931488","36775.2972648366","37965.1311539106","38989.4936735016","39278.5953497875","38715.2616876366","39526.9708047124","40082.6048153463","41189.2383572889","41794.1922126499","42869.2471695732","44212.1670413743","45658.1365976205","47282.2846760321","48689.0312898553","48690.8079408159","49081.3587876497","50053.624104102","51476.4887860738","52796.089816261","53782.2972881633","54272.7195525927","53688.3651351372","51869.7063083713","52759.9980807375","53190.2311213989","53989.2483396923","54604.1300544798","55574.3568248497","56863.3714957652","57418.9338464454","58387.7758083572","59821.5922735518","60836.7714535018","58559.6745127534",
"United States","USA","Gross value added at basic prices (GVA) (constant LCU)","NY.GDP.FCST.KN","","","","","","","","","","","5686208113000","5793498282000","6105743399000","6455462230000","6412460738000","6303043228000","6597511823000","6898767517000","7218106270000","7385128841000","7324202369000","7484291928000","7430928741000","7604254051000","8149440935000","8442098095000","8657861844000","8974889593000","9435391220000","9642945767000","9773188651000","9718974249000","9929897146000","10136970501000","10534596252000","10881375951000","11304344530000","11864613490000","12373443892000","12963998257000","13502311729000","13616969204000","13845839306000","14221046286000","14739177456000","15269230875000","15701077981000","15949358878000","15903792344000","15525724221000","15872810580000","16088070966000","16415048891000","16663753296000","17071928261000","17561846885000","17841150583000","18257452638000","18771713140000","","",
